Product,Price,Date,Vat Rate
For repair Cotton Pizza,356.0,2022-12-30,0.2
Plastic Chair,909.56,2022-12-01,0.15
Table,520.65,2022-10-23,0.2
Plastic Salad,277.53,2022-11-01,0.2
Fish,89.94,2022-10-21,0.05
Generic Granite Cheese,41.91,2022-11-20,0.1
Fresh Computer,824.17,2022-12-15,0.2
Fantastic Rubber Pants,912.6,2022-11-30,0.1
Gently Used Fresh Soap,719.62,2023-01-22,0.1
Soap,646.67,2023-01-16,0.05
Concrete Table,137.35,2023-02-05,0.25
Generic Bike,566.13,2022-12-05,0.05
Granite Computer,240.75,2022-12-26,0.15
For repair Shoes,529.83,2022-12-12,0.25
Unbranded Metal Chair,541.97,2023-01-31,0.15
Licensed Chicken,606.26,2022-12-23,0.15
Ergonomic Soap,165.11,2023-01-27,0.1
Rustic Bike,149.98,2022-10-13,0.15
Tasty Cotton Chicken,139.95,2023-01-06,0.15
Licensed Granite Table,152.72,2022-11-15,0.15
Granite Towels,149.09,2022-10-30,0.25
Fantastic Plastic Soap,412.89,2022-12-05,0.1
Refined Table,438.89,2022-10-09,0.1
Fresh Chicken,773.97,2023-01-29,0.15
Intelligent Frozen Chicken,845.21,2023-01-03,0.25
Gently Used Salad,973.09,2023-01-07,0.1
Fish,419.46,2022-10-18,0.05
Small Rubber Bacon,53.64,2023-01-28,0.1
Shoes,915.9,2022-12-04,0.25
Granite Tuna,615.88,2022-12-03,0.05
Pizza,3.67,2022-10-29,0.15
Generic Towels,253.77,2022-10-20,0.2
Generic Soft Keyboard,59.99,2022-12-07,0.2
Tasty Cotton Ball,469.41,2023-02-03,0.05
Wooden Salad,550.11,2023-02-05,0.15
Fish,176.63,2023-01-03,0.15
Fish,723.28,2022-12-29,0.05
Cotton Car,954.91,2022-11-16,0.05
Mouse,299.43,2023-01-12,0.25
Rubber Fish,560.44,2022-12-22,0.25
Soft Table,517.71,2022-12-01,0.1
Shirt,78.04,2022-12-28,0.1
Gorgeous Rubber Bacon,344.92,2022-12-16,0.15
Awesome Pizza,648.88,2022-11-06,0.1
Table,180.01,2022-11-13,0.15
Practical Cotton Fish,839.85,2023-01-12,0.1
Handmade Steel Bike,372.65,2022-12-20,0.15
Towels,379.33,2022-10-12,0.1
Soft Pants,482.08,2022-11-24,0.2
Tasty Shoes,986.78,2022-10-24,0.05
Fish,707.99,2022-12-22,0.1
Plastic Sausages,37.18,2022-12-08,0.1
Metal Shirt,869.93,2022-12-11,0.05
Handmade Bike,250.48,2022-10-23,0.1
Used Chicken,811.7,2022-11-20,0.15
Fresh Bike,152.63,2022-10-25,0.15
Bacon,708.78,2023-02-02,0.05
Cotton Chair,436.66,2022-11-19,0.1
Table,151.26,2022-11-21,0.1
Refined Rubber Gloves,59.68,2022-11-18,0.05
Gloves,372.27,2022-12-25,0.2
Car,429.77,2023-01-06,0.05
Awesome Wooden Computer,17.11,2023-01-09,0.15
Cotton Shoes,386.76,2022-10-31,0.15
Gorgeous Soft Fish,18.67,2022-12-04,0.2
Rustic Frozen Hat,629.45,2022-12-31,0.2
Licensed Ball,232.37,2022-10-11,0.2
Handcrafted Cheese,887.78,2023-01-17,0.05
Soft Chicken,891.38,2023-01-14,0.2
Used Soft Table,709.43,2022-12-10,0.1
Refined Keyboard,735.09,2022-10-20,0.05
Rustic Frozen Cheese,206.82,2022-12-26,0.15
Chair,711.23,2023-01-09,0.25
Rubber Fish,823.74,2022-11-17,0.1
Handmade Computer,214.71,2022-10-23,0.1
Fantastic Shirt,106.38,2022-10-10,0.2
Intelligent Sausages,622.98,2022-11-26,0.25
Gently Used Rubber Mouse,879.84,2022-10-19,0.1
Used Mouse,308.54,2022-11-06,0.15
Towels,938.58,2023-01-23,0.05
For repair Cotton Mouse,59.3,2023-02-05,0.25
For repair Concrete Pizza,214.01,2022-10-24,0.2
Soap,62.45,2022-10-18,0.2
Handcrafted Plastic Shoes,224.06,2022-12-31,0.25
Chair,258.83,2023-01-18,0.2
Frozen Chair,623.8,2022-12-06,0.2
Sleek Wooden Mouse,327.71,2022-11-20,0.2
Licensed Shirt,909.96,2022-10-19,0.15
Handmade Soft Bike,172.23,2023-01-16,0.25
Fresh Bike,823.72,2022-12-04,0.1
For repair Shirt,315.01,2023-01-14,0.25
Ergonomic Towels,897.26,2022-11-27,0.1
Pants,710.79,2023-01-07,0.1
Metal Tuna,815.5,2022-12-06,0.25
Intelligent Cheese,204.83,2022-12-26,0.25
Handcrafted Car,387.54,2022-11-07,0.1
Unbranded Bike,521.34,2022-12-22,0.25
Gorgeous Steel Chair,312.66,2022-11-02,0.1
Wooden Chips,615.57,2022-11-07,0.15
Steel Pizza,473.46,2023-02-02,0.05
Intelligent Granite Ball,839.43,2022-11-08,0.2
For repair Metal Sausages,290.29,2023-01-12,0.05
Gently Used Mouse,600.11,2023-01-28,0.2
Tasty Frozen Towels,264.15,2022-11-03,0.15
Steel Ball,713.8,2022-12-31,0.1
Handmade Wooden Table,741.85,2022-12-15,0.15
Incredible Soft Car,209.69,2022-11-16,0.25
Soft Pizza,307.13,2023-02-04,0.15
Soft Chips,263.33,2023-01-21,0.15
Soft Pants,683.63,2022-12-16,0.15
Tasty Chips,729.02,2023-01-17,0.15
Sleek Soft Fish,745.95,2022-11-16,0.15
Gorgeous Bacon,320.55,2022-12-12,0.1
Practical Steel Mouse,150.04,2022-11-06,0.25
Salad,635.16,2023-02-03,0.2
Gorgeous Fresh Sausages,268.82,2022-12-23,0.25
Intelligent Chicken,393.64,2022-12-02,0.25
Incredible Cotton Mouse,726.51,2022-10-28,0.25
Pants,981.46,2022-11-22,0.25
New Soft Sausages,79.43,2022-12-24,0.05
Mouse,453.91,2023-01-14,0.1
Tasty Steel Ball,63.22,2022-12-31,0.25
Practical Rubber Soap,557.41,2022-11-06,0.2
Small Rubber Shirt,214.96,2023-01-07,0.15
Rustic Computer,113.27,2023-01-05,0.25
Fish,232.3,2022-12-29,0.2
Plastic Chair,829.11,2022-12-13,0.25
Hat,856.86,2022-11-13,0.2
Plastic Keyboard,987.0,2022-10-15,0.2
Steel Bacon,198.49,2022-10-11,0.05
Gorgeous Chips,9.73,2022-12-13,0.05
Refined Cotton Keyboard,650.54,2022-10-12,0.25
Sausages,675.46,2023-01-11,0.2
Mouse,155.5,2022-12-22,0.2
Hat,148.13,2022-11-14,0.2
Hat,847.2,2022-11-30,0.05
Chicken,837.33,2023-01-28,0.15
Cotton Pants,476.72,2022-10-16,0.05
Rubber Pants,831.34,2022-10-14,0.2
Gently Used Cotton Bike,977.83,2023-01-22,0.2
Wooden Pizza,249.03,2022-12-11,0.25
Incredible Keyboard,333.92,2022-11-12,0.15
Chair,805.76,2022-11-26,0.2
Gorgeous Cotton Shoes,140.5,2023-02-01,0.2
Sausages,506.54,2023-01-30,0.05
Ergonomic Steel Sausages,884.83,2023-01-28,0.1
Awesome Metal Bike,236.58,2022-12-11,0.05
Awesome Cheese,323.99,2023-01-24,0.05
Pants,609.5,2023-01-14,0.1
For repair Gloves,852.32,2022-10-25,0.05
Rustic Sausages,483.31,2022-12-03,0.05
Refined Computer,444.58,2022-12-31,0.25
